,Chromosome,Source,Feature,Start,End,Score,Strand,Frame,Attribute
174091,JAILWY010000022.1,AUGUSTUS,gene,3880490,3883237,0.7,-,.,JAILWY010000022.1.g14794
174110,JAILWY010000022.1,AUGUSTUS,gene,3891089,3897430,0.37,-,.,JAILWY010000022.1.g14795
174119,JAILWY010000022.1,AUGUSTUS,gene,3911506,3913474,0.57,-,.,JAILWY010000022.1.g14796
174128,JAILWY010000022.1,AUGUSTUS,gene,3934433,3953614,0.4,+,.,JAILWY010000022.1.g14797
174155,JAILWY010000022.1,AUGUSTUS,gene,3962573,3964743,0.55,-,.,JAILWY010000022.1.g14798
174174,JAILWY010000022.1,AUGUSTUS,gene,3965487,3969021,0.21,-,.,JAILWY010000022.1.g14799
174191,JAILWY010000022.1,AUGUSTUS,gene,3969069,3971980,0.1,-,.,JAILWY010000022.1.g14800
174206,JAILWY010000022.1,AUGUSTUS,gene,3982079,3988856,0.23,-,.,JAILWY010000022.1.g14801
174217,JAILWY010000022.1,AUGUSTUS,gene,4006482,4010484,0.61,-,.,JAILWY010000022.1.g14802
174232,JAILWY010000022.1,AUGUSTUS,gene,4027054,4027353,0.96,+,.,JAILWY010000022.1.g14803
174237,JAILWY010000022.1,AUGUSTUS,gene,4028505,4040493,0.69,-,.,JAILWY010000022.1.g14804
174248,JAILWY010000022.1,AUGUSTUS,gene,4041251,4043655,0.89,-,.,JAILWY010000022.1.g14805
174255,JAILWY010000022.1,AUGUSTUS,gene,4054326,4057810,0.38,-,.,JAILWY010000022.1.g14806
174262,JAILWY010000022.1,AUGUSTUS,gene,4059139,4059393,0.73,+,.,JAILWY010000022.1.g14807
174267,JAILWY010000022.1,AUGUSTUS,gene,4061091,4069882,0.24,-,.,JAILWY010000022.1.g14808
174300,JAILWY010000022.1,AUGUSTUS,gene,4072083,4072505,0.39,+,.,JAILWY010000022.1.g14809
174305,JAILWY010000022.1,AUGUSTUS,gene,4082520,4083614,1,+,.,JAILWY010000022.1.g14810
174310,JAILWY010000022.1,AUGUSTUS,gene,4086552,4088393,0.28,+,.,JAILWY010000022.1.g14811
174319,JAILWY010000022.1,AUGUSTUS,gene,4091952,4108811,0.08,+,.,JAILWY010000022.1.g14812
174382,JAILWY010000022.1,AUGUSTUS,gene,4112618,4115804,0.99,+,.,JAILWY010000022.1.g14813
174395,JAILWY010000022.1,AUGUSTUS,gene,4142045,4152766,0.16,+,.,JAILWY010000022.1.g14814
174414,JAILWY010000022.1,AUGUSTUS,gene,4155238,4161003,0.46,+,.,JAILWY010000022.1.g14815
174441,JAILWY010000022.1,AUGUSTUS,gene,4162557,4162913,0.9,+,.,JAILWY010000022.1.g14816
174446,JAILWY010000022.1,AUGUSTUS,gene,4167393,4167701,0.98,-,.,JAILWY010000022.1.g14817
174451,JAILWY010000022.1,AUGUSTUS,gene,4179668,4182050,0.47,+,.,JAILWY010000022.1.g14818
174460,JAILWY010000022.1,AUGUSTUS,gene,4197642,4197989,0.48,+,.,JAILWY010000022.1.g14819
174465,JAILWY010000022.1,AUGUSTUS,gene,4204081,4209906,0.11,-,.,JAILWY010000022.1.g14820
174486,JAILWY010000022.1,AUGUSTUS,gene,4216885,4218197,0.38,-,.,JAILWY010000022.1.g14821
174493,JAILWY010000022.1,AUGUSTUS,gene,4222289,4228101,0.55,-,.,JAILWY010000022.1.g14822
174512,JAILWY010000022.1,AUGUSTUS,gene,4229743,4230069,0.85,-,.,JAILWY010000022.1.g14823
174517,JAILWY010000022.1,AUGUSTUS,gene,4232600,4241230,0.1,+,.,JAILWY010000022.1.g14824
174530,JAILWY010000022.1,AUGUSTUS,gene,4245638,4251226,0.21,+,.,JAILWY010000022.1.g14825
174545,JAILWY010000022.1,AUGUSTUS,gene,4251237,4252205,0.41,+,.,JAILWY010000022.1.g14826
174552,JAILWY010000022.1,AUGUSTUS,gene,4253822,4254453,0.68,+,.,JAILWY010000022.1.g14827
174559,JAILWY010000022.1,AUGUSTUS,gene,4269192,4269470,0.4,+,.,JAILWY010000022.1.g14828
174564,JAILWY010000022.1,AUGUSTUS,gene,4274704,4274904,0.9,-,.,JAILWY010000022.1.g14829
174569,JAILWY010000022.1,AUGUSTUS,gene,4277242,4278241,0.95,+,.,JAILWY010000022.1.g14830
174578,JAILWY010000022.1,AUGUSTUS,gene,4279490,4287710,0.51,+,.,JAILWY010000022.1.g14831
174619,JAILWY010000022.1,AUGUSTUS,gene,4291259,4295749,0.58,-,.,JAILWY010000022.1.g14832
174644,JAILWY010000022.1,AUGUSTUS,gene,4337175,4337393,0.69,-,.,JAILWY010000022.1.g14833
174649,JAILWY010000022.1,AUGUSTUS,gene,4361840,4362175,0.28,-,.,JAILWY010000022.1.g14834
174656,JAILWY010000022.1,AUGUSTUS,gene,4364802,4368959,0.33,+,.,JAILWY010000022.1.g14835
174663,JAILWY010000022.1,AUGUSTUS,gene,4375653,4375976,0.5,-,.,JAILWY010000022.1.g14836
174668,JAILWY010000022.1,AUGUSTUS,gene,4377800,4379674,0.76,+,.,JAILWY010000022.1.g14837
174675,JAILWY010000022.1,AUGUSTUS,gene,4381911,4382135,0.9,+,.,JAILWY010000022.1.g14838
174680,JAILWY010000022.1,AUGUSTUS,gene,4382307,4383348,0.33,+,.,JAILWY010000022.1.g14839
174691,JAILWY010000022.1,AUGUSTUS,gene,4395724,4396212,0.95,+,.,JAILWY010000022.1.g14840
174696,JAILWY010000022.1,AUGUSTUS,gene,4397026,4397714,0.57,+,.,JAILWY010000022.1.g14841
174705,JAILWY010000022.1,AUGUSTUS,gene,4400468,4402705,0.81,-,.,JAILWY010000022.1.g14842
174716,JAILWY010000022.1,AUGUSTUS,gene,4414527,4420592,0.16,+,.,JAILWY010000022.1.g14843
174731,JAILWY010000022.1,AUGUSTUS,gene,4443523,4462883,0.12,+,.,JAILWY010000022.1.g14844
174776,JAILWY010000022.1,AUGUSTUS,gene,4475656,4483925,0.44,-,.,JAILWY010000022.1.g14845
174785,JAILWY010000022.1,AUGUSTUS,gene,4504976,4524982,0.19,+,.,JAILWY010000022.1.g14846
174820,JAILWY010000022.1,AUGUSTUS,gene,4529989,4532474,0.5,-,.,JAILWY010000022.1.g14847
174835,JAILWY010000022.1,AUGUSTUS,gene,4533673,4535529,1,+,.,JAILWY010000022.1.g14848
174844,JAILWY010000022.1,AUGUSTUS,gene,4537923,4540176,0.69,+,.,JAILWY010000022.1.g14849
174851,JAILWY010000022.1,AUGUSTUS,gene,4540493,4542426,0.18,-,.,JAILWY010000022.1.g14850
174864,JAILWY010000022.1,AUGUSTUS,gene,4542648,4543818,0.94,-,.,JAILWY010000022.1.g14851
174873,JAILWY010000022.1,AUGUSTUS,gene,4549195,4550232,0.86,+,.,JAILWY010000022.1.g14852
174880,JAILWY010000022.1,AUGUSTUS,gene,4555557,4559364,0.3,-,.,JAILWY010000022.1.g14853
174891,JAILWY010000022.1,AUGUSTUS,gene,4562045,4563250,0.91,+,.,JAILWY010000022.1.g14854
174896,JAILWY010000022.1,AUGUSTUS,gene,4569513,4572531,0.63,+,.,JAILWY010000022.1.g14855
174911,JAILWY010000022.1,AUGUSTUS,gene,4578543,4582100,0.64,+,.,JAILWY010000022.1.g14856
174932,JAILWY010000022.1,AUGUSTUS,gene,4588664,4590520,0.62,-,.,JAILWY010000022.1.g14857
174943,JAILWY010000022.1,AUGUSTUS,gene,4593555,4595753,0.33,-,.,JAILWY010000022.1.g14858
174950,JAILWY010000022.1,AUGUSTUS,gene,4612364,4619747,0.22,+,.,JAILWY010000022.1.g14859
174985,JAILWY010000022.1,AUGUSTUS,gene,4625504,4626943,0.33,-,.,JAILWY010000022.1.g14860
174992,JAILWY010000022.1,AUGUSTUS,gene,4647051,4656527,0.49,-,.,JAILWY010000022.1.g14861
175025,JAILWY010000022.1,AUGUSTUS,gene,4656649,4662551,0.39,-,.,JAILWY010000022.1.g14862
175062,JAILWY010000022.1,AUGUSTUS,gene,4663183,4664106,0.48,+,.,JAILWY010000022.1.g14863
175071,JAILWY010000022.1,AUGUSTUS,gene,4664243,4666268,0.69,+,.,JAILWY010000022.1.g14864
175082,JAILWY010000022.1,AUGUSTUS,gene,4667457,4667789,0.61,-,.,JAILWY010000022.1.g14865
175087,JAILWY010000022.1,AUGUSTUS,gene,4667839,4671276,0.11,+,.,JAILWY010000022.1.g14866
175100,JAILWY010000022.1,AUGUSTUS,gene,4671776,4673196,0.39,+,.,JAILWY010000022.1.g14867
175111,JAILWY010000022.1,AUGUSTUS,gene,4674123,4676610,0.36,+,.,JAILWY010000022.1.g14868
175122,JAILWY010000022.1,AUGUSTUS,gene,4677763,4678695,0.53,+,.,JAILWY010000022.1.g14869
175133,JAILWY010000022.1,AUGUSTUS,gene,4679280,4680452,0.96,+,.,JAILWY010000022.1.g14870
175144,JAILWY010000022.1,AUGUSTUS,gene,4681935,4707734,0.01,-,.,JAILWY010000022.1.g14871
175269,JAILWY010000022.1,AUGUSTUS,gene,4708888,4709181,1,+,.,JAILWY010000022.1.g14872
175274,JAILWY010000022.1,AUGUSTUS,gene,4711674,4713537,0.72,-,.,JAILWY010000022.1.g14873
175281,JAILWY010000022.1,AUGUSTUS,gene,4716881,4718088,0.61,+,.,JAILWY010000022.1.g14874
175290,JAILWY010000022.1,AUGUSTUS,gene,4721272,4727214,0.09,-,.,JAILWY010000022.1.g14875
175311,JAILWY010000022.1,AUGUSTUS,gene,4729578,4731338,0.62,+,.,JAILWY010000022.1.g14876
175322,JAILWY010000022.1,AUGUSTUS,gene,4735204,4735911,0.92,+,.,JAILWY010000022.1.g14877
175329,JAILWY010000022.1,AUGUSTUS,gene,4736740,4739187,1,+,.,JAILWY010000022.1.g14878
175334,JAILWY010000022.1,AUGUSTUS,gene,4741756,4744111,0.29,-,.,JAILWY010000022.1.g14879
175353,JAILWY010000022.1,AUGUSTUS,gene,4745967,4747934,1,-,.,JAILWY010000022.1.g14880
175358,JAILWY010000022.1,AUGUSTUS,gene,4748717,4750261,0.97,+,.,JAILWY010000022.1.g14881
175363,JAILWY010000022.1,AUGUSTUS,gene,4751965,4752702,0.98,-,.,JAILWY010000022.1.g14882
175368,JAILWY010000022.1,AUGUSTUS,gene,4760002,4760598,0.7,+,.,JAILWY010000022.1.g14883
175375,JAILWY010000022.1,AUGUSTUS,gene,4769810,4772607,0.37,+,.,JAILWY010000022.1.g14884
175384,JAILWY010000022.1,AUGUSTUS,gene,4773014,4774559,0.86,-,.,JAILWY010000022.1.g14885
175391,JAILWY010000022.1,AUGUSTUS,gene,4778407,4783972,0.51,-,.,JAILWY010000022.1.g14886
175416,JAILWY010000022.1,AUGUSTUS,gene,4793470,4794051,0.68,+,.,JAILWY010000022.1.g14887
175421,JAILWY010000022.1,AUGUSTUS,gene,4794417,4795414,0.43,-,.,JAILWY010000022.1.g14888
175428,JAILWY010000022.1,AUGUSTUS,gene,4798451,4799689,0.88,+,.,JAILWY010000022.1.g14889
175437,JAILWY010000022.1,AUGUSTUS,gene,4801506,4809970,0.33,+,.,JAILWY010000022.1.g14890
175452,JAILWY010000022.1,AUGUSTUS,gene,4906224,4906463,0.54,-,.,JAILWY010000022.1.g14891
175457,JAILWY010000022.1,AUGUSTUS,gene,4923097,4930900,0.42,+,.,JAILWY010000022.1.g14892
175468,JAILWY010000022.1,AUGUSTUS,gene,4951931,4969122,0.27,+,.,JAILWY010000022.1.g14893
175489,JAILWY010000022.1,AUGUSTUS,gene,4969135,4969335,0.56,-,.,JAILWY010000022.1.g14894
175494,JAILWY010000022.1,AUGUSTUS,gene,5010183,5010566,0.56,+,.,JAILWY010000022.1.g14895
175499,JAILWY010000022.1,AUGUSTUS,gene,5012852,5016543,0.86,+,.,JAILWY010000022.1.g14896
175522,JAILWY010000022.1,AUGUSTUS,gene,5017612,5019290,0.64,-,.,JAILWY010000022.1.g14897
175533,JAILWY010000022.1,AUGUSTUS,gene,5019776,5023133,0.16,-,.,JAILWY010000022.1.g14898
175550,JAILWY010000022.1,AUGUSTUS,gene,5025354,5026771,0.27,-,.,JAILWY010000022.1.g14899
175561,JAILWY010000022.1,AUGUSTUS,gene,5031949,5034578,0.76,-,.,JAILWY010000022.1.g14900
175578,JAILWY010000022.1,AUGUSTUS,gene,5034809,5035499,0.97,-,.,JAILWY010000022.1.g14901
175585,JAILWY010000022.1,AUGUSTUS,gene,5041612,5043739,0.34,-,.,JAILWY010000022.1.g14902
175598,JAILWY010000022.1,AUGUSTUS,gene,5044592,5045622,0.7,-,.,JAILWY010000022.1.g14903
175607,JAILWY010000022.1,AUGUSTUS,gene,5046357,5047584,1,+,.,JAILWY010000022.1.g14904
175614,JAILWY010000022.1,AUGUSTUS,gene,5051209,5051541,0.39,+,.,JAILWY010000022.1.g14905
175619,JAILWY010000022.1,AUGUSTUS,gene,5053918,5054265,0.76,-,.,JAILWY010000022.1.g14906
175626,JAILWY010000022.1,AUGUSTUS,gene,5062563,5068162,0.21,+,.,JAILWY010000022.1.g14907
175637,JAILWY010000022.1,AUGUSTUS,gene,5068343,5069098,0.93,+,.,JAILWY010000022.1.g14908
175642,JAILWY010000022.1,AUGUSTUS,gene,5074256,5076633,0.52,+,.,JAILWY010000022.1.g14909
175651,JAILWY010000022.1,AUGUSTUS,gene,5077893,5078899,0.57,-,.,JAILWY010000022.1.g14910
175660,JAILWY010000022.1,AUGUSTUS,gene,5081569,5082985,0.43,-,.,JAILWY010000022.1.g14911
175671,JAILWY010000022.1,AUGUSTUS,gene,5087956,5096218,0.07,-,.,JAILWY010000022.1.g14912
175696,JAILWY010000022.1,AUGUSTUS,gene,5102807,5112763,0.17,+,.,JAILWY010000022.1.g14913
175727,JAILWY010000022.1,AUGUSTUS,gene,5116806,5120655,0.13,+,.,JAILWY010000022.1.g14914
175750,JAILWY010000022.1,AUGUSTUS,gene,5121670,5124447,0.39,+,.,JAILWY010000022.1.g14915
175767,JAILWY010000022.1,AUGUSTUS,gene,5126031,5127728,0.95,-,.,JAILWY010000022.1.g14916
175776,JAILWY010000022.1,AUGUSTUS,gene,5130163,5133477,0.93,+,.,JAILWY010000022.1.g14917
175793,JAILWY010000022.1,AUGUSTUS,gene,5136841,5137441,0.38,+,.,JAILWY010000022.1.g14918
175800,JAILWY010000022.1,AUGUSTUS,gene,5139987,5143857,0.92,+,.,JAILWY010000022.1.g14919
175821,JAILWY010000022.1,AUGUSTUS,gene,5145945,5151065,0.19,-,.,JAILWY010000022.1.g14920
175842,JAILWY010000022.1,AUGUSTUS,gene,5151833,5153032,0.71,+,.,JAILWY010000022.1.g14921
175851,JAILWY010000022.1,AUGUSTUS,gene,5164216,5165778,0.48,-,.,JAILWY010000022.1.g14922
175862,JAILWY010000022.1,AUGUSTUS,gene,5166456,5167750,0.94,+,.,JAILWY010000022.1.g14923
175869,JAILWY010000022.1,AUGUSTUS,gene,5168854,5176122,0.71,-,.,JAILWY010000022.1.g14924
175894,JAILWY010000022.1,AUGUSTUS,gene,5182615,5184157,0.33,-,.,JAILWY010000022.1.g14925
175905,JAILWY010000022.1,AUGUSTUS,gene,5185196,5194060,0.19,+,.,JAILWY010000022.1.g14926
175934,JAILWY010000022.1,AUGUSTUS,gene,5200176,5205910,0.8,-,.,JAILWY010000022.1.g14927
175963,JAILWY010000022.1,AUGUSTUS,gene,5206464,5213755,0.77,+,.,JAILWY010000022.1.g14928
175982,JAILWY010000022.1,AUGUSTUS,gene,5227345,5235299,0.96,-,.,JAILWY010000022.1.g14929
176003,JAILWY010000022.1,AUGUSTUS,gene,5241055,5246882,0.73,-,.,JAILWY010000022.1.g14930
176034,JAILWY010000022.1,AUGUSTUS,gene,5248259,5251325,0.64,-,.,JAILWY010000022.1.g14931
176043,JAILWY010000022.1,AUGUSTUS,gene,5256918,5257130,0.77,-,.,JAILWY010000022.1.g14932
176048,JAILWY010000022.1,AUGUSTUS,gene,5262129,5266375,0.43,-,.,JAILWY010000022.1.g14933
176057,JAILWY010000022.1,AUGUSTUS,gene,5270496,5270843,0.71,-,.,JAILWY010000022.1.g14934
176062,JAILWY010000022.1,AUGUSTUS,gene,5284503,5285072,0.46,-,.,JAILWY010000022.1.g14935
176067,JAILWY010000022.1,AUGUSTUS,gene,5287626,5294124,0.65,+,.,JAILWY010000022.1.g14936
176074,JAILWY010000022.1,AUGUSTUS,gene,5309900,5319240,0.86,-,.,JAILWY010000022.1.g14937
176093,JAILWY010000022.1,AUGUSTUS,gene,5330481,5330939,0.3,-,.,JAILWY010000022.1.g14938
176098,JAILWY010000022.1,AUGUSTUS,gene,5331366,5331695,0.62,-,.,JAILWY010000022.1.g14939
176103,JAILWY010000022.1,AUGUSTUS,gene,5348053,5348437,0.96,+,.,JAILWY010000022.1.g14940
176110,JAILWY010000022.1,AUGUSTUS,gene,5350900,5352432,0.58,-,.,JAILWY010000022.1.g14941
176115,JAILWY010000022.1,AUGUSTUS,gene,5355785,5356768,0.46,-,.,JAILWY010000022.1.g14942
176120,JAILWY010000022.1,AUGUSTUS,gene,5357137,5359104,0.37,-,.,JAILWY010000022.1.g14943
176125,JAILWY010000022.1,AUGUSTUS,gene,5359170,5360324,0.97,-,.,JAILWY010000022.1.g14944
176130,JAILWY010000022.1,AUGUSTUS,gene,5367949,5368242,0.72,-,.,JAILWY010000022.1.g14945
176135,JAILWY010000022.1,AUGUSTUS,gene,5375053,5376199,0.96,-,.,JAILWY010000022.1.g14946
176144,JAILWY010000022.1,AUGUSTUS,gene,5419204,5419455,0.95,-,.,JAILWY010000022.1.g14947
176149,JAILWY010000022.1,AUGUSTUS,gene,5447516,5453217,0.73,+,.,JAILWY010000022.1.g14948
176162,JAILWY010000022.1,AUGUSTUS,gene,5456240,5458862,0.59,-,.,JAILWY010000022.1.g14949
176175,JAILWY010000022.1,AUGUSTUS,gene,5460626,5462230,0.57,-,.,JAILWY010000022.1.g14950
176186,JAILWY010000022.1,AUGUSTUS,gene,5466572,5468269,0.62,-,.,JAILWY010000022.1.g14951
176197,JAILWY010000022.1,AUGUSTUS,gene,5470100,5471590,0.97,-,.,JAILWY010000022.1.g14952
176208,JAILWY010000022.1,AUGUSTUS,gene,5475013,5476502,0.98,-,.,JAILWY010000022.1.g14953
176219,JAILWY010000022.1,AUGUSTUS,gene,5479200,5480690,0.97,-,.,JAILWY010000022.1.g14954
176230,JAILWY010000022.1,AUGUSTUS,gene,5487161,5489984,0.71,-,.,JAILWY010000022.1.g14955
176243,JAILWY010000022.1,AUGUSTUS,gene,5494634,5494897,0.62,-,.,JAILWY010000022.1.g14956
176248,JAILWY010000022.1,AUGUSTUS,gene,5495744,5496133,0.65,-,.,JAILWY010000022.1.g14957
176253,JAILWY010000022.1,AUGUSTUS,gene,5497657,5503622,0.76,+,.,JAILWY010000022.1.g14958
176266,JAILWY010000022.1,AUGUSTUS,gene,5507195,5509895,0.97,-,.,JAILWY010000022.1.g14959
176279,JAILWY010000022.1,AUGUSTUS,gene,5513207,5515047,0.98,+,.,JAILWY010000022.1.g14960
176288,JAILWY010000022.1,AUGUSTUS,gene,5522255,5523752,0.53,-,.,JAILWY010000022.1.g14961
176295,JAILWY010000022.1,AUGUSTUS,gene,5524491,5526188,1,+,.,JAILWY010000022.1.g14962
176300,JAILWY010000022.1,AUGUSTUS,gene,5531659,5542700,0.14,-,.,JAILWY010000022.1.g14963
176315,JAILWY010000022.1,AUGUSTUS,gene,5544061,5545969,0.84,-,.,JAILWY010000022.1.g14964
176324,JAILWY010000022.1,AUGUSTUS,gene,5549930,5550220,1,+,.,JAILWY010000022.1.g14965
176329,JAILWY010000022.1,AUGUSTUS,gene,5563430,5563909,0.73,-,.,JAILWY010000022.1.g14966
176334,JAILWY010000022.1,AUGUSTUS,gene,5567838,5579472,0.18,-,.,JAILWY010000022.1.g14967
176375,JAILWY010000022.1,AUGUSTUS,gene,5582944,5583201,1,+,.,JAILWY010000022.1.g14968
176380,JAILWY010000022.1,AUGUSTUS,gene,5583582,5585762,0.98,-,.,JAILWY010000022.1.g14969
176391,JAILWY010000022.1,AUGUSTUS,gene,5612551,5612808,0.58,-,.,JAILWY010000022.1.g14970
176396,JAILWY010000022.1,AUGUSTUS,gene,5636658,5637440,0.95,+,.,JAILWY010000022.1.g14971
176401,JAILWY010000022.1,AUGUSTUS,gene,5638032,5639339,0.25,-,.,JAILWY010000022.1.g14972
176410,JAILWY010000022.1,AUGUSTUS,gene,5660042,5674358,0.34,+,.,JAILWY010000022.1.g14973
176421,JAILWY010000022.1,AUGUSTUS,gene,5733594,5744175,0.22,+,.,JAILWY010000022.1.g14974
176442,JAILWY010000022.1,AUGUSTUS,gene,5747504,5749951,0.64,-,.,JAILWY010000022.1.g14975
176455,JAILWY010000022.1,AUGUSTUS,gene,5750678,5756045,0.19,+,.,JAILWY010000022.1.g14976
176472,JAILWY010000022.1,AUGUSTUS,gene,5756384,5760941,0.29,+,.,JAILWY010000022.1.g14977
176491,JAILWY010000022.1,AUGUSTUS,gene,5773931,5782735,0.27,+,.,JAILWY010000022.1.g14978
176532,JAILWY010000022.1,AUGUSTUS,gene,5793402,5793899,0.74,+,.,JAILWY010000022.1.g14979
176537,JAILWY010000022.1,AUGUSTUS,gene,5805281,5805694,0.46,+,.,JAILWY010000022.1.g14980
176542,JAILWY010000022.1,AUGUSTUS,gene,5817124,5821555,0.52,-,.,JAILWY010000022.1.g14981
176559,JAILWY010000022.1,AUGUSTUS,gene,5909220,5913865,0.5,-,.,JAILWY010000022.1.g14982
176568,JAILWY010000022.1,AUGUSTUS,gene,5974021,5974299,0.74,+,.,JAILWY010000022.1.g14983
176573,JAILWY010000022.1,AUGUSTUS,gene,6010893,6011498,0.99,-,.,JAILWY010000022.1.g14984
176578,JAILWY010000022.1,AUGUSTUS,gene,6041235,6044399,0.49,-,.,JAILWY010000022.1.g14985
176585,JAILWY010000022.1,AUGUSTUS,gene,6115193,6115764,0.4,+,.,JAILWY010000022.1.g14986
176592,JAILWY010000022.1,AUGUSTUS,gene,6138360,6153076,0.29,+,.,JAILWY010000022.1.g14987
176617,JAILWY010000022.1,AUGUSTUS,gene,6162962,6164782,0.87,-,.,JAILWY010000022.1.g14988
176626,JAILWY010000022.1,AUGUSTUS,gene,6167943,6172219,0.29,-,.,JAILWY010000022.1.g14989
176641,JAILWY010000022.1,AUGUSTUS,gene,6182411,6197546,0.19,-,.,JAILWY010000022.1.g14990
176690,JAILWY010000022.1,AUGUSTUS,gene,6218262,6219701,0.2,+,.,JAILWY010000022.1.g14991
176697,JAILWY010000022.1,AUGUSTUS,gene,6220069,6222274,0.84,-,.,JAILWY010000022.1.g14992
176710,JAILWY010000022.1,AUGUSTUS,gene,6224678,6233687,0.25,+,.,JAILWY010000022.1.g14993
176737,JAILWY010000022.1,AUGUSTUS,gene,6234633,6236162,0.33,+,.,JAILWY010000022.1.g14994
176748,JAILWY010000022.1,AUGUSTUS,gene,6252591,6254140,0.64,-,.,JAILWY010000022.1.g14995
176757,JAILWY010000022.1,AUGUSTUS,gene,6254981,6258041,0.52,-,.,JAILWY010000022.1.g14996
176768,JAILWY010000022.1,AUGUSTUS,gene,6268977,6269375,0.69,-,.,JAILWY010000022.1.g14997
176773,JAILWY010000022.1,AUGUSTUS,gene,6270116,6270355,0.47,-,.,JAILWY010000022.1.g14998
176778,JAILWY010000022.1,AUGUSTUS,gene,6270649,6283958,0.16,-,.,JAILWY010000022.1.g14999
176793,JAILWY010000022.1,AUGUSTUS,gene,6288925,6289551,0.93,-,.,JAILWY010000022.1.g15000
176798,JAILWY010000022.1,AUGUSTUS,gene,6305245,6305641,0.74,+,.,JAILWY010000022.1.g15001
176805,JAILWY010000022.1,AUGUSTUS,gene,6305784,6306089,0.66,-,.,JAILWY010000022.1.g15002
176810,JAILWY010000022.1,AUGUSTUS,gene,6307765,6318390,0.73,+,.,JAILWY010000022.1.g15003
176839,JAILWY010000022.1,AUGUSTUS,gene,6321078,6321950,1,+,.,JAILWY010000022.1.g15004
176844,JAILWY010000022.1,AUGUSTUS,gene,6322872,6324466,0.4,+,.,JAILWY010000022.1.g15005
176851,JAILWY010000022.1,AUGUSTUS,gene,6324573,6325347,0.97,+,.,JAILWY010000022.1.g15006
176858,JAILWY010000022.1,AUGUSTUS,gene,6328759,6344470,0.06,+,.,JAILWY010000022.1.g15007
176899,JAILWY010000022.1,AUGUSTUS,gene,6354562,6360549,0.52,-,.,JAILWY010000022.1.g15008
176924,JAILWY010000022.1,AUGUSTUS,gene,6362008,6373364,0.25,+,.,JAILWY010000022.1.g15009
176979,JAILWY010000022.1,AUGUSTUS,gene,6376912,6377184,0.73,+,.,JAILWY010000022.1.g15010
176984,JAILWY010000022.1,AUGUSTUS,gene,6381252,6381828,0.33,+,.,JAILWY010000022.1.g15011
176991,JAILWY010000022.1,AUGUSTUS,gene,6386861,6388163,0.41,+,.,JAILWY010000022.1.g15012
177002,JAILWY010000022.1,AUGUSTUS,gene,6394801,6398363,0.24,-,.,JAILWY010000022.1.g15013
177013,JAILWY010000022.1,AUGUSTUS,gene,6419525,6420827,0.35,+,.,JAILWY010000022.1.g15014
177024,JAILWY010000022.1,AUGUSTUS,gene,6426573,6440499,0.36,+,.,JAILWY010000022.1.g15015
177037,JAILWY010000022.1,AUGUSTUS,gene,6446197,6450820,0.1,+,.,JAILWY010000022.1.g15016
177046,JAILWY010000022.1,AUGUSTUS,gene,6458584,6463077,0.57,-,.,JAILWY010000022.1.g15017
177055,JAILWY010000023.1,AUGUSTUS,gene,25017,32965,0.04,-,.,JAILWY010000023.1.g15018
177074,JAILWY010000023.1,AUGUSTUS,gene,33032,34556,0.41,-,.,JAILWY010000023.1.g15019
177085,JAILWY010000023.1,AUGUSTUS,gene,35039,35541,0.79,-,.,JAILWY010000023.1.g15020
177092,JAILWY010000023.1,AUGUSTUS,gene,37990,42789,0.41,+,.,JAILWY010000023.1.g15021
177099,JAILWY010000023.1,AUGUSTUS,gene,44976,46264,0.92,-,.,JAILWY010000023.1.g15022
177110,JAILWY010000023.1,AUGUSTUS,gene,49895,51900,0.84,-,.,JAILWY010000023.1.g15023
177117,JAILWY010000023.1,AUGUSTUS,gene,54992,55986,0.32,-,.,JAILWY010000023.1.g15024
177126,JAILWY010000023.1,AUGUSTUS,gene,59537,61580,0.83,-,.,JAILWY010000023.1.g15025
177135,JAILWY010000023.1,AUGUSTUS,gene,62969,63193,1,-,.,JAILWY010000023.1.g15026
177140,JAILWY010000023.1,AUGUSTUS,gene,67058,70779,0.7,-,.,JAILWY010000023.1.g15027
177155,JAILWY010000023.1,AUGUSTUS,gene,73223,73531,0.98,+,.,JAILWY010000023.1.g15028
177160,JAILWY010000023.1,AUGUSTUS,gene,73900,74295,0.65,+,.,JAILWY010000023.1.g15029
177165,JAILWY010000023.1,AUGUSTUS,gene,79757,90988,0.33,+,.,JAILWY010000023.1.g15030
177200,JAILWY010000023.1,AUGUSTUS,gene,97085,98027,0.34,-,.,JAILWY010000023.1.g15031
177207,JAILWY010000023.1,AUGUSTUS,gene,98095,98460,0.82,-,.,JAILWY010000023.1.g15032
177212,JAILWY010000023.1,AUGUSTUS,gene,98916,103747,0.35,+,.,JAILWY010000023.1.g15033
177225,JAILWY010000023.1,AUGUSTUS,gene,111064,116462,0.7,-,.,JAILWY010000023.1.g15034
177246,JAILWY010000023.1,AUGUSTUS,gene,117732,123697,0.23,+,.,JAILWY010000023.1.g15035
177265,JAILWY010000023.1,AUGUSTUS,gene,140361,140975,0.41,-,.,JAILWY010000023.1.g15036
177272,JAILWY010000023.1,AUGUSTUS,gene,143125,144484,0.59,+,.,JAILWY010000023.1.g15037
177281,JAILWY010000023.1,AUGUSTUS,gene,146371,147308,0.14,-,.,JAILWY010000023.1.g15038
177290,JAILWY010000023.1,AUGUSTUS,gene,158204,158473,0.49,+,.,JAILWY010000023.1.g15039
